drugbank_id,drug_name,pseudo_label_score,pseudo_label_rank,target_overlap_count,target_overlap_weight,has_lincs_match,is_approved
DB00843,Donepezil,0.2229372387911961,252,2,3.4644976669303142,1,1
DB00605,Sulindac,0.22283019713487723,253,1,3.9439285358482863,1,1
DB00480,Lenalidomide,0.22283019713487723,254,1,3.9439285358482863,1,1
DB00244,Mesalazine,0.2225278539753912,255,1,3.9439285358482863,1,1
DB05260,Gallium nitrate,0.22239582489280707,256,2,4.359640225169194,0,1
DB01025,Amlexanox,0.22232517732069212,257,1,4.022184974789907,1,1
DB00054,Abciximab,0.2221903941607503,258,3,14.052804384763101,0,1
DB00163,Vitamin E,0.2221419927292541,259,1,2.7211421174369663,1,1
DB01014,Balsalazide,0.22207433923616215,260,1,3.9439285358482863,1,1
DB00963,Bromfenac,0.22192316765641917,261,1,3.9439285358482863,1,1
DB09212,Loxoprofen,0.22192316765641917,262,1,3.9439285358482863,1,1
DB00317,Gefitinib,0.2214663643235072,263,0,0.0,1,1
DB06144,Sertindole,0.2212770949774066,264,1,4.024154714988533,1,1
DB00723,Methoxamine,0.2212770949774066,265,1,4.024154714988533,1,1
DB06216,Asenapine,0.22112592339766357,266,1,4.024154714988533,1,1
DB06694,Xylometazoline,0.22112592339766357,267,1,4.024154714988533,1,1
DB00610,Metaraminol,0.22112592339766357,268,1,4.024154714988533,1,1
DB00242,Cladribine,0.2210727344513752,269,1,3.278112662575041,1,1
DB00499,Flutamide,0.22101284958427814,270,0,0.0,1,1
DB06803,Niclosamide,0.22101284958427814,271,0,0.0,1,1
DB00233,Aminosalicylic acid,0.22086496659821808,272,1,3.9439285358482863,1,1
DB00573,Fenoprofen,0.22086496659821808,273,1,3.9439285358482863,1,1
DB00870,Suprofen,0.22086496659821808,274,1,3.9439285358482863,1,1
DB01628,Etoricoxib,0.22086496659821808,275,1,3.9439285358482863,1,1
DB08901,Ponatinib,0.220757987617834,276,1,2.628292572227545,1,1
DB13346,Bufexamac,0.2207137950184751,277,1,3.9439285358482863,1,1
DB06736,Aceclofenac,0.2207137950184751,278,1,3.9439285358482863,1,1
DB09216,Tolfenamic acid,0.2207137950184751,279,1,3.9439285358482863,1,1
DB13783,Acemetacin,0.2207137950184751,280,1,3.9439285358482863,1,1
DB04855,Dronedarone,0.22067240865843457,281,1,4.024154714988533,0,1
DB14185,Aripiprazole lauroxil,0.22067240865843457,282,1,4.024154714988533,0,1
DB01267,Paliperidone,0.22067240865843457,283,1,4.024154714988533,0,1
DB00696,Ergotamine,0.22067240865843457,284,1,4.024154714988533,0,1
DB09128,Brexpiprazole,0.22067240865843457,285,1,4.024154714988533,0,1
DB06262,Droxidopa,0.22067240865843457,286,1,4.024154714988533,0,1
DB00668,Epinephrine,0.22067240865843457,287,1,4.024154714988533,0,1
DB06016,Cariprazine,0.22067240865843457,288,1,4.024154714988533,0,1
DB12278,Propiverine,0.22067240865843457,289,1,4.024154714988533,0,1
DB00751,Epinastine,0.22067240865843457,290,1,4.024154714988533,0,1
DB00777,Propiomazine,0.22067240865843457,291,1,4.024154714988533,0,1
DB09194,Etoperidone,0.22067240865843457,292,1,4.024154714988533,0,1
DB00298,Dapiprazole,0.22067240865843457,293,1,4.024154714988533,0,1
DB00388,Phenylephrine,0.22067240865843457,294,1,4.024154714988533,0,1
DB06207,Silodosin,0.22067240865843457,295,1,4.024154714988533,0,1
DB06707,Levonordefrin,0.22067240865843457,296,1,4.024154714988533,0,1
DB08950,Indoramin,0.22067240865843457,297,1,4.024154714988533,0,1
DB00706,Tamsulosin,0.22067240865843457,298,1,4.024154714988533,0,1
DB00964,Apraclonidine,0.22067240865843457,299,1,4.024154714988533,0,1
DB01579,Phendimetrazine,0.22067240865843457,300,1,4.024154714988533,0,1
DB11273,Dihydroergocornine,0.22067240865843457,301,1,4.024154714988533,0,1
DB11278,DL-Methylephedrine,0.22067240865843457,302,1,4.024154714988533,0,1
DB11577,Indigotindisulfonic acid,0.22067240865843457,303,1,4.024154714988533,0,1
DB09061,Cannabidiol,0.22026028027924605,304,1,3.9439285358482863,0,1
DB09213,Dexibuprofen,0.22026028027924605,305,1,3.9439285358482863,0,1
DB00166,Lipoic acid,0.22026028027924605,306,1,3.9439285358482863,0,1
DB04828,Zomepirac,0.22026028027924605,307,1,3.9439285358482863,0,1
DB08910,Pomalidomide,0.22026028027924605,308,1,3.9439285358482863,0,1
DB01283,Lumiracoxib,0.22026028027924605,309,1,3.9439285358482863,0,1
DB01397,Magnesium salicylate,0.22026028027924605,310,1,3.9439285358482863,0,1
DB01399,Salsalate,0.22026028027924605,311,1,3.9439285358482863,0,1
DB01401,Choline magnesium trisalicylate,0.22026028027924605,312,1,3.9439285358482863,0,1
DB01419,Antrafenine,0.22026028027924605,313,1,3.9439285358482863,0,1
DB06725,Lornoxicam,0.22026028027924605,314,1,3.9439285358482863,0,1
DB06802,Nepafenac,0.22026028027924605,315,1,3.9439285358482863,0,1
DB09215,Droxicam,0.22026028027924605,316,1,3.9439285358482863,0,1
DB11071,Phenyl salicylate,0.22026028027924605,317,1,3.9439285358482863,0,1
DB11079,Trolamine salicylate,0.22026028027924605,318,1,3.9439285358482863,0,1
DB11201,Menthyl salicylate,0.22026028027924605,319,1,3.9439285358482863,0,1
DB11323,Glycol salicylate,0.22026028027924605,320,1,3.9439285358482863,0,1
